indicator_id,name,measure,how_calculated,source_list
137,Leukemia,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;leukemia over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
121,Pancreatic Cancer,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;pancreatic cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
117,Lung and Bronchus Cancer,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;lung and bronchus cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
125,Brain and Other Nervous System Cancer,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;brain and other nervous system cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
145,Chronic Lymphocytic Leukemia,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;chronic lymphocytic leukemia over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
129,Thyroid Cancer,Age Adjusted Rate - Males,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;thyroid cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
131,Thyroid Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;thyroid cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
147,Chronic Lymphocytic Leukemia,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;chronic lymphocytic leukemia&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
123,Pancreatic Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;pancreatic cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
119,Lung and Bronchus Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;lung and bronchus cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
139,Leukemia,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;leukemia&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
127,Brain and Other Nervous System Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with brain and other nervous system cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
135,Non-Hodgkin's Lymphomas,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of male residents diagnosed with&nbsp;non-Hodgkin&rsquo;s lymphoma over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 male residents.</p>",New York State Cancer Registry
143,Acute Myeloid Leukemia,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with acute myeloid leukemia over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Age-adjusted rate is the sum of these weighted; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
586,Oral Cavity and Pharynx Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;cancer of the oral cavity and/or pharynx&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
602,Bladder Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;urinary bladder cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
596,Mesothelioma,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;mesothelioma&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
580,Melanoma of the Skin,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;melanoma of the skin&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
574,Liver and Intrahepatic Bile Duct Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;cancer of the liver and/or intrahepatic bile duct&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
568,Larynx Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;larynx cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
562,Kidney and Renal Pelvis Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;cancer of the kidney and/or renal pelvis&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
545,Esophageal Cancer,Age Adjusted Rate - Females,"<p>Average&nbsp;annual&nbsp;number of female residents diagnosed with&nbsp;esophageal cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 female residents.</p>",New York State Cancer Registry
251,Large City Air Quality Ranking,Annual Average PM 2.5,"<p>The 24-hour average concentrations of PM 2.5 for each regulatory monitor within a city are used to compute an annual average for each monitor. The city is assigned an annual average PM 2.5 concentration that is equal to the maximum average measured by any of the monitors. The maximum average for a particular year is then averaged with the previous and subsequent years (and is in reality a three-year rolling average). This computation is made for NYC and eight comparison cities with populations over 1,000,000 (Chicago, Dallas, Houston, Los Angeles, Philadelphia, Phoenix, San Antonio and San Diego)</p>",United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
256,State of Good Repair,Bridges,"The NYC Department of Transportation (DOT) has under its purview 842 bridges. Federal and State law require that bridges be inspected a minimum of every two years. New York State performs the actual bridge inspections and assigns a numerical rating. The NYC DOT then translates those ratings to the verbal designations of ""very good,"" ""good,"" ""fair"" or ""poor."" This indicator is the percent of bridges rated as either ""very good"", ""good"", or ""fair"".",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
257,State of Good Repair,Roads,"The NYC DOT Street Assessment Unit conducts an annual pavement condition survey that assesses conditions for one half of New York City streets. The entire city is evaluated once every two years. Street Assessment inspectors rate individual city streets on a scale of 1 through 10 (1 being the worst and 10 being the best). Any street that receives a rating of 7 or below is eligible for resurfacing, whereas any street with a rating of 8 through 10 is not eligible and is in a state of good repair. Reported are the percentages of streets rating between 8 and 10.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
258,State of Good Repair,Subway Station Components,"The number of subway stations for which infrastructure components are replaced on a schedule consistent with its life expectancy. The indicator tracks how many stations have been renovated by the end of their expected useful life, expressed as a percentage.","Metropolitan Transportation Authority "
260,Park Distance,New Yorkers within 1/4 Mile,"The percentage of the census block area that falls within 1/4 mile of a park edge in a given year, multiplied by the total population of the Census block, summed for all census blocks, then expressed as a percent of 2000 Census population. ",New York City Department of Parks and Recreation
261,Greenhouse Gas Emissions,Per Capita,"The number of metric tons of carbon dioxide equivalent (CO2e) emitted by NYC buildings (direct emissions from combustion of fuel oil and natural gas, indirect emissions from generation of electricity and steam); transportation (direct emissions from buses, commuter rail, trucks, and passenger cars, and indirect emissions from electricity for mass transit); and indirect emissions from generation of electricity used in streetlights and traffic signals; together with fugitive and process emissions (from solid waste management, electricity distribution, wastewater treatment, and vehicle cooling). CO2 equivalent includes emissions of CO2 as well as an equivalent amount of CO2 (in terms of global warming impact) of other greenhouse gases, including methane, nitrous oxide, hydroflourocarbons, perfluorocarbons, and sulfur hexafluoride. Each gas is converted to CO2e, based on its potential to trap heat in the Earth's atmosphere, and emissions from all six gases are added together for reporting in one common unit.
The total is divided by the NYC intercensal population estimates, which are calculated by the US Census Bureau and then verified by the NYC Department of City Planning.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
263,Drinking Water Demand,Average Daily Water Use per Capita,"The average daily number of gallons of drinking water diverted to in-city supply over the course of the year. This amount is divided by the NYC intercensal population estimates, which are calculated by the US Census Bureau and then verified by the NYC Department of City Planning.",New York City Department of Environmental Protection (DEP) Drinking Water Supply and Quality Report
264,"Housing Supply ",Cumulative Number of New Units since 2007,"The cumulative sum of the number of Certificates of Occupancy, including Temporary Certificates of Occupancy, issued annually by the Department of Buildings since the inception of PlaNYC in 2007. A Certificate of Occupancy is required by the City and indicates that a building is ready for occupation. 







































","New York City Department of City Planning (DCP) Permit and Occupancy Data "
265,"Housing Supply ",Total Number of Existing Units,"The number of housing units in NYC is derived from the Housing and Vacancy Survey (HVS), which is a triennial, population-based, cross-sectional survey of housing units in NYC.",New York City Housing and Vacancy Survey (HVS)
266,Housing Affordability,Housing Affordable for Median Income NYC Household,"For each year of Housing and Vacancy Survey (HVS) data, a housing budget is calculated by taking the estimated citywide median household income for all households (from the HVS), divided by 12 months, and multiplied by 0.3. The estimated percentage of rental units (occupied and vacant/available for rent) with an asking rent (contract) less than or equal to the derived maximum housing budget are counted as affordable to the typical NYC household. This measure incorporates changes in median household income as well as changes in asking rent. ",New York City Housing and Vacancy Survey (HVS)
267,Housing Affordability,Low-Rent Housing Unit Vacancy Rate,"Estimated citywide number of vacant or available for rent units in the lowest rent category (<$700 real 2008 dollars), divided by the citywide estimate of total rental units (occupied and available for rent) in that category.",New York City Housing and Vacancy Survey (HVS)
269,Greenhouse Gas Emissions,Per Gross City Product (GCP),"The number of metric tons of carbon dioxide equivalent (CO2e) emitted by NYC buildings (direct emissions from combustion of fuel oil and natural gas, indirect emissions from generation of electricity and steam); transportation (direct emissions from buses, commuter rail, trucks, and passenger cars, and indirect emissions from electricity for mass transit); and indirect emissions from generation of electricity used in streetlights and traffic signals; together with fugitive and process emissions (from solid waste management, electricity distribution, wastewater treatment, and vehicle cooling). CO2 equivalent includes emissions of CO2 as well as an equivalent amount of CO2 (in terms of global warming impact) of other greenhouse gases, including methane, nitrous oxide, hydroflourocarbons, perfluorocarbons, and sulfur hexafluoride. Each gas is converted to CO2e, based on its potential to trap heat in the Earth's atmosphere, and emissions from all six gases are added together for reporting in one common unit.
The total is divided by the gross city product (GCP); expressed in millions of 2005 dollars. ",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
270,Housing Sustainability,New Permits for Units within 1/2 Mile of Transit,"The percentage of new building permits for residential units issued annually by the Department of Buildings that are located within a 1/2 mile radius of a transit node (e.g., subway stop, commuter rail station).","New York City Department of City Planning (DCP) Permit and Occupancy Data "
271,Cleaner Energy,Carbon Intensity of Electricity,"The number of pounds of CO2e produced by all NYC sources of electricity, divided by the citywide electric energy usage in megawatt-hours. The amount of CO2e that an electricity source will produce depends on the fuel that is burned and loss that occurs within the distribution network. CO2 equivalents include both emissions of CO2 as well as an equivalent amount of CO2 (in terms of global warming impact) of greenhouse gases of other greenhouse gases. These gases include methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs) and sulfur hexafluoride (SF6), each of which has a specific global warming potential (potential to trap heat in Earth's atmosphere). All six greenhouse gases are converted to CO2e and added together to report in one common unit.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
273,Greenhouse Gas Emissions,Reduction from 2005,"The number of metric tons of carbon dioxide equivalent (CO2e) emitted by NYC buildings (direct emissions from combustion of fuel oil and natural gas, indirect emissions from generation of electricity and steam); transportation (direct emissions from buses, commuter rail, trucks, and passenger cars, and indirect emissions from electricity for mass transit); and indirect emissions from generation of electricity used in streetlights and traffic signals; together with fugitive and process emissions (from solid waste management, electricity distribution, wastewater treatment, and vehicle cooling). CO2 equivalent includes emissions of CO2 as well as an equivalent amount of CO2 (in terms of global warming impact) of other greenhouse gases, including methane, nitrous oxide, hydroflourocarbons, perfluorocarbons, and sulfur hexafluoride. Each gas is converted to CO2e, based on its potential to trap heat in the Earth's atmosphere, and emissions from all six gases are added together for reporting in one common unit.
The number for each year is expressed as a percentage of 2005 base output. When the city has met its goal of a 30% reduction, this indicator will read ""70"".",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
275,Energy Efficiency,Energy Usage (MMBTU) per capita,"The amount of fuel oil, electricity, natural gas, and steam power used in the City's building stock is converted to MMBTU and then divided by the City population. Because a hotter or colder summer or winter can have a significant impact on energy usage, this metric lessens the effects of weather by calculating a 3 year rolling average of energy usage for each year.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
272,Greenhouse Gas Emissions,Metric Tons of CO2 Equivalents (MTCO2e),"The number of metric tons of carbon dioxide equivalent (CO2e) emitted by NYC buildings (direct emissions from combustion of fuel oil and natural gas, indirect emissions from generation of electricity and steam); transportation (direct emissions from buses, commuter rail, trucks, and passenger cars, and indirect emissions from electricity for mass transit); and indirect emissions from generation of electricity used in streetlights and traffic signals; together with fugitive and process emissions (from solid waste management, electricity distribution, wastewater treatment, and vehicle cooling). CO2 equivalent includes emissions of CO2 as well as an equivalent amount of CO2 (in terms of global warming impact) of other greenhouse gases, including methane, nitrous oxide, hydroflourocarbons, perfluorocarbons, and sulfur hexafluoride. Each gas is converted to CO2e, based on its potential to trap heat in the Earth's atmosphere, and emissions from all six gases are added together for reporting in one common unit.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
276,New York Harbor Water Quality,Dissolved Oxygen Rate,"The annual average dissolved oxygen concentration (mg/L) across Harbor Survey stations. There is a NYS standard of 5.0mg/L necessary to allow bathing, in addition to a less stringent standard to allow fishing and boating. A higher number indicates a cleaner harbor.",New York Harbor Water Quality Survey
277,Drinking Water Quality,Analyses Below Maximum Contaminant Levels (MCLs),"The number of NYC drinking water analyses that are below the NYS maximum contaminant level (MCL) for 227 different contaminants tested throughout the year, divided by the total number of analyses performed throughout the year; expressed as a percent, with a maximum value of 100%. The NYC Department of Environmental Protection performs over 10,000 drinking water analyses monthly. ",New York City Department of Environmental Protection (DEP) Drinking Water Supply and Quality Report
278,New York Harbor Water Quality,Fecal Coliform Rate,The annual geometric mean of fecal coliform counts across Harbor Survey stations. The state standard to allow bathing is a monthly geometric mean less than or equal to 200 cells / 100mL (from 5 or more samples). There is a less stringent standard to allow fishing and boating.,New York Harbor Water Quality Survey
286,"Transit Capacity ",Vehicle Revenue Miles (in millions),"<p>The total number of miles (in millions) that transit (public transportation) vehicles (subway cars, rail cars, buses, ferry boats, van pools, trams, para-transit vehicles) are scheduled to travel or actually travel while in revenue service. This number combines all transit agencies in the New York metropolitan area, including non-city agencies that provide significant transit service to and from the city (e.g., Long Island Rail Road). Vehicle revenue miles do not include situations when a bus or subway car travels without passengers back to a storage depot.</p>",National Transit Database
284,Modal Shift - Travel to the Central Business District,Non-Automobile Share,"Number of trips to the central business district (Manhattan below 60th street) on a typical fall morning by transit (bus, subway, railroad, passenger ferry, tram) or bicycle, divided by the total number of automobile, taxi, van and truck trips; expressed as a percent.",New York Metropolitan Transportation Council (NYMTC) Hub Bound Travel Report
283,Modal Shift - All Travel,Automobile and Transit Volume,"Automobile traffic is calculated by summing data reported in the New York Metropolitan Transportation Council's (NYMTC) annual hub-bound (Manhattan below 60th St) report, the NYC Department of Transportation’s (DOT) screenline reports, and annual bridge traffic data. The NYMTC and NYC DOT traffic and screenline reports are manual counts that are modeled in order to extrapolate throughout the year. Transit ridership is calculated from NYC transit subway and bus boarding data, and includes bicycle ridership as estimated from NYC DOT bicycle screenline (boundary) counts and NYMTC annual hub-bound reports. Both numbers are indexed so that their volume percentage in the year 2000 equals 100.",New York City Department of Transportation Sustainable Streets Index
318,Energy Reliability,System Average Interruption Frequency Index,"ConEdison calculates a System Average Interruption Frequency Index (SAIFI) on an annual basis, which gauges the relative reliability of the NYC electricity network. It does so by measuring the average number of service interruptions per 1000 customers in a given year.",New York City Mayor's Office of Long Term Planning and Sustainability (OLTPS) PlaNYC Indicator Data
324,Chronic Lymphocytic Leukemia,Average Annual Number - Total,<p>Average annual number of residents diagnosed with chronic lymphocytic leukemia&nbsp;over the 5 year period.</p>,New York State Cancer Registry
332,Thyroid Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with thyroid cancer over the 5 year period.</p>,New York State Cancer Registry
317,Acute Myeloid Leukemia,Average Annual Number - Total,<p>Average annual number of residents diagnosed with acute myeloid leukemia over the 5 year period.</p>,New York State Cancer Registry
330,Non-Hodgkin's Lymphomas,Average Annual Number - Total,<p>Average annual number of residents diagnosed with non-Hodgkin&rsquo;s lymphoma over the 5 year period.</p>,New York State Cancer Registry
326,Leukemia,Average Annual Number - Total,<p>Average annual number of residents diagnosed with leukemia over the 5 year period.</p>,New York State Cancer Registry
328,Lung and Bronchus Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with lung and bronchus cancer over the 5 year period.</p>,New York State Cancer Registry
320,Pancreatic Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with pancreatic cancer over the 5 year period.</p>,New York State Cancer Registry
322,Brain and Other Nervous System Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with&nbsp;brain and other nervous system cancer over the 5 year period.</p>,New York State Cancer Registry
561,Kidney and Renal Pelvis Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with cancer of the kidney and/or renal pelvis&nbsp;over the 5 year period.</p>,New York State Cancer Registry
541,Esophageal Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with esophageal cancer&nbsp;over the 5 year period.</p>,New York State Cancer Registry
567,Larynx Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with larynx cancer&nbsp;over the 5 year period.</p>,New York State Cancer Registry
573,Liver and Intrahepatic Bile Duct Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with cancer of the liver and/or intrahepatic bile duct over the 5 year period.</p>,New York State Cancer Registry
585,Oral Cavity and Pharynx Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with cancer of the oral cavity and/or pharynx over the 5 year period.</p>,New York State Cancer Registry
579,Melanoma of the Skin,Average Annual Number - Total,<p>Average annual number of residents diagnosed with melanoma of the skin over the 5 year period.</p>,New York State Cancer Registry
606,Bladder Cancer,Average Annual Number - Total,<p>Average annual number of residents diagnosed with&nbsp;urinary bladder cancer over the 5 year period.</p>,New York State Cancer Registry
601,Mesothelioma,Average Annual Number - Total,<p>Average annual number of residents diagnosed with mesothelioma over the 5 year period.</p>,New York State Cancer Registry
715,Carbon Monoxide Incidents without a Detector (3 Year Avg.),Average Annual Number - Total,"A 3-year average annual number of carbon monoxide incidents where FDNY measured at least 1 ppm at the scene, and there was no detector (alarm) or alarm did not go off.",Fire Department of New York City (FDNY) Carbon Monoxide Incidents
604,Bladder Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;urinary bladder cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
598,Mesothelioma,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;mesothelioma&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
582,Melanoma of the Skin,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;melanoma of the skin&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
588,Oral Cavity and Pharynx Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;cancer of the oral cavity and/or pharynx&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
576,Liver and Intrahepatic Bile Duct Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;cancer of the liver and/or intrahepatic bile duct&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
570,Larynx Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;larynx cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
564,Kidney and Renal Pelvis Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;cancer of the kidney and/or renal pelvis&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
544,Esophageal Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;esophageal cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
323,Brain and Other Nervous System Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;brain and other nervous system cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
321,Pancreatic Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;pancreatic cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
329,Lung and Bronchus Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;lung and bronchus cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
327,Leukemia,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;leukemia&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
